Corporate Bond Purchase Auction Data,,,,,,,,,,,,,,
Attribution: Bank of England,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Operation date,"Ticker (d)
",ISIN,Reference instrument,Reference yield (%),Settlement date,Total offers received (nominal £mn),Allocation (nominal £mn),Allocation (proceeds £mn),Clearing spread (bps)(a),Clearing yield (%),Clearing price (£)(b),Allocated at clearing spread (%)(c),,
25/03/2009,SGN 4 7/8 12/21/20,XS0232334952,UKT 4.75 03/20,3.551,30/03/2009,7.3,2.20,1.97,270,6.251,88.034,-,,
25/03/2009,SGOFP 5 5/8 12/15/16,XS0274270908,UKT 4 09/16,2.888,30/03/2009,12.0,5.70,4.96,520,8.088,85.393,-,,
25/03/2009,SSELN 5 7/8 09/22/22,XS0095371638,UKT 4.75 03/20,3.551,30/03/2009,5.0,-,-,-,-,-,-,,
25/03/2009,TSCOLN 5 1/2 12/13/19,XS0159013068,UKT 4.5 03/19,3.379,30/03/2009,5.0,-,-,-,-,-,-,,
25/03/2009,UU 5 3/8 05/14/18,XS0168054673,UKT 5 03/18,3.210,30/03/2009,2.0,1.80,1.9,200,5.21,100.674,-,,
25/03/2009,VOD 8 1/8 11/26/18,XS0400780960,UKT 5 03/18,3.210,30/03/2009,14.1,4.10,4.89,255,5.76,116.439,-,,
25/03/2009,WPPLN 6 04/04/17,XS0294391684,UKT 4 09/16,2.888,30/03/2009,17.0,5.80,4.98,661,9.498,79.906,-,,
26/03/2009,BATSLN 7 1/4 03/12/24,XS0352062995,UKT 5 03/25,3.989,31/03/2009,9.5,4.70,4.93,266,6.649,104.515,-,,
26/03/2009,BRK 7 1/4 08/04/28,XS0083707884,UKT 6 12/28,4.043,31/03/2009,1.0,-,-,-,-,-,-,,
26/03/2009,BSY 6 05/21/27,XS0301676861,UKT 6 12/28,4.043,31/03/2009,2.0,-,-,-,-,-,-,,
26/03/2009,EDF 5 1/2 06/05/26,XS0169169355,UKT 5 03/25,3.989,31/03/2009,1.0,-,-,-,-,-,-,,
26/03/2009,EDF 5 3/4 03/08/24,XS0187202303,UKT 5 03/25,3.989,31/03/2009,12.5,-,-,-,-,-,-,,
26/03/2009,EDF 6 1/4 05/30/28,XS0367001061,,,31/03/2009,0.0,-,-,0,-,-,-,,
26/03/2009,EDF 6 1/8 06/07/27,XS0148889420,UKT 6 12/28,4.043,31/03/2009,5.4,2.00,2.09,201,6.053,99.761,-,,
26/03/2009,EDF 8 1/2 03/31/25,XS0058209106,UKT 5 03/25,3.989,31/03/2009,1.0,-,-,-,-,-,-,,
26/03/2009,FRTEL 5 1/4 12/05/25,XS0236800412,UKT 5 03/25,3.989,31/03/2009,1.0,-,-,-,-,-,-,,
26/03/2009,FRTEL 8 1/8 11/20/28,XS0399412443,UKT 6 12/28,4.043,31/03/2009,14.2,-,-,-,-,-,-,,
26/03/2009,GE 5 1/4 12/07/28,XS0096298822,UKT 6 12/28,4.043,31/03/2009,2.3,1.30,0.8,570,9.743,59.834,-,,
26/03/2009,HMSOLN 6 02/23/26,XS0184639895,UKT 5 03/25,3.989,31/03/2009,8.0,3.00,1.7,790,11.889,56.22,-,,
26/03/2009,HMSOLN 7 1/4 04/21/28,XS0085732716,UKT 6 12/28,4.043,31/03/2009,10.4,2.80,1.97,790,11.943,63.421,-,,
26/03/2009,IBESM 6 3/4 05/29/23,XS0087240163,UKT 5 03/25,3.989,31/03/2009,4.0,3.00,3.29,221,6.199,104.154,-,,
26/03/2009,NGGLN 6 1/2 07/27/28,XS0132735373,UKT 6 12/28,4.043,31/03/2009,1.0,-,-,-,-,-,-,,
26/03/2009,NGGLN 7 12/16/24,XS0103338496,UKT 5 03/25,3.989,31/03/2009,8.4,4.50,4.92,216,6.149,107.394,-,,
26/03/2009,NGGLN 8 3/4 06/27/25,XS0058343251,UKT 5 03/25,3.989,31/03/2009,5.2,3.00,3.97,211,6.099,125.692,-,,
26/03/2009,NGN 4 7/8 06/30/27,XS0234964459,,,31/03/2009,0.0,-,-,0,-,-,-,,
26/03/2009,NRWLN 8 7/8 03/25/26,XS0058957316,UKT 5 03/25,3.989,31/03/2009,14.2,4.00,4.73,290,6.889,118.209,-,,
26/03/2009,PPL 5 7/8 03/25/27,XS0165510313,UKT 6 12/28,4.043,31/03/2009,1.0,-,-,-,-,-,-,,
